Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",217.250000,-105.500000,-90.000000,top
"C2","100n","C_0402_1005Metric",211.500000,-105.500000,-90.000000,top
"C3","100n","C_0402_1005Metric",205.688686,-105.500000,-90.000000,top
"C4","100n","C_0402_1005Metric",199.900000,-105.500000,-90.000000,top
"C5","100n","C_0402_1005Metric",194.106268,-105.500000,-90.000000,top
"C6","100n","C_0402_1005Metric",188.326175,-105.500000,-90.000000,top
"C7","100n","C_0402_1005Metric",182.522001,-105.500000,-90.000000,top
"C8","100n","C_0402_1005Metric",176.723952,-105.500000,-90.000000,top
"C9","100n","C_0402_1005Metric",170.933411,-105.500000,-90.000000,top
"C37","100n","C_0603_1608Metric",156.850000,-95.074999,180.000000,top
"C38","100n","C_0603_1608Metric",152.850000,-93.200000,90.000000,top
"C39","100n","C_0603_1608Metric",156.850000,-102.513986,180.000000,top
"C40","100n","C_0603_1608Metric",152.850000,-100.638987,90.000000,top
"C41","100n","C_0603_1608Metric",156.850000,-110.574999,180.000000,top
"C42","100n","C_0603_1608Metric",152.850000,-108.700000,90.000000,top
"C45","150p","C_0603_1608Metric",216.250000,-97.970000,0.000000,top
"C46","150p","C_0603_1608Metric",213.925000,-109.780000,0.000000,top
"C47","150p","C_0603_1608Metric",210.460000,-97.970000,0.000000,top
"C48","150p","C_0603_1608Metric",208.135000,-109.780000,0.000000,top
"C49","150p","C_0603_1608Metric",204.660000,-97.970000,0.000000,top
"C50","150p","C_0603_1608Metric",202.335000,-109.780000,0.000000,top
"C51","150p","C_0603_1608Metric",198.860000,-97.956600,0.000000,top
"C52","150p","C_0603_1608Metric",196.535000,-109.780000,0.000000,top
"C53","150p","C_0603_1608Metric",193.075000,-97.956600,0.000000,top
"C54","150p","C_0603_1608Metric",190.775000,-109.780000,0.000000,top
"C55","150p","C_0603_1608Metric",187.275000,-97.956600,0.000000,top
"C56","150p","C_0603_1608Metric",184.975000,-109.780000,0.000000,top
"C57","150p","C_0603_1608Metric",181.475000,-97.956600,0.000000,top
"C58","150p","C_0603_1608Metric",179.175000,-109.780000,0.000000,top
"C59","150p","C_0603_1608Metric",175.725000,-97.956600,0.000000,top
"C60","150p","C_0603_1608Metric",173.385000,-109.780000,0.000000,top
"C61","150p","C_0603_1608Metric",169.925000,-97.956600,0.000000,top
"C62","150p","C_0603_1608Metric",167.589340,-109.780000,0.000000,top
"CB1","22u","GRM18x",156.845000,-93.250000,0.000000,top
"CB2","22u","GRM18x",156.845000,-100.688987,0.000000,top
"CB3","22u","GRM18x",156.845000,-108.750000,0.000000,top
"CBY2","100n","C_0603_1608Metric",185.100000,-48.662500,0.000000,top
"CBY5","100n","C_0402_1005Metric",178.200000,-63.800000,180.000000,top
"CBY6","100n","C_0603_1608Metric",210.425000,-83.250000,0.000000,top
"CBY7","100n","C_0603_1608Metric",210.500000,-70.250000,0.000000,top
"CBY8","100n","C_0603_1608Metric",210.500000,-57.750000,0.000000,top
"CBY9","100n","C_0603_1608Metric",210.500000,-44.750000,180.000000,top
"J2","Conn_01x18","FH34SRJ18S05SH50",157.750000,-42.800000,0.000000,top
"R1","21k","R_0603_1608Metric",183.525000,-41.662500,180.000000,top
"R2","12k","R_0603_1608Metric",183.525000,-43.662500,0.000000,top
"R3","100R","R_0603_1608Metric",200.925000,-91.500000,180.000000,top
"R4","100R","R_0603_1608Metric",200.925000,-89.500000,180.000000,top
"R5","100R","R_0603_1608Metric",200.925000,-87.500000,180.000000,top
"R6","100R","R_0603_1608Metric",200.925000,-85.500000,180.000000,top
"R7","100R","R_0603_1608Metric",200.925000,-78.500000,180.000000,top
"R8","100R","R_0603_1608Metric",200.925000,-76.500000,180.000000,top
"R9","100R","R_0603_1608Metric",200.925000,-74.500000,180.000000,top
"R10","100R","R_0603_1608Metric",200.925000,-72.500000,180.000000,top
"R11","100R","R_0603_1608Metric",200.925000,-66.000000,180.000000,top
"R12","100R","R_0603_1608Metric",200.925000,-64.000000,180.000000,top
"R13","100R","R_0603_1608Metric",200.925000,-62.000000,180.000000,top
"R14","100R","R_0603_1608Metric",200.925000,-60.000000,180.000000,top
"R15","100R","R_0603_1608Metric",200.925000,-52.750000,180.000000,top
"R16","100R","R_0603_1608Metric",200.925000,-50.750000,180.000000,top
"R17","100R","R_0603_1608Metric",200.925000,-48.750000,180.000000,top
"R18","100R","R_0603_1608Metric",200.925000,-46.750000,180.000000,top
"R37","10k","R_0603_1608Metric",176.450000,-78.550000,90.000000,top
"R40","2k2","R_0603_1608Metric",216.250000,-99.500000,0.000000,top
"R41","2k2","R_0603_1608Metric",213.925000,-108.250000,0.000000,top
"R42","2k2","R_0603_1608Metric",210.460000,-99.500000,0.000000,top
"R43","2k2","R_0603_1608Metric",208.135000,-108.250000,0.000000,top
"R44","2k2","R_0603_1608Metric",204.660000,-99.500000,0.000000,top
"R45","2k2","R_0603_1608Metric",202.335000,-108.250000,0.000000,top
"R46","2k2","R_0603_1608Metric",198.860000,-99.486600,0.000000,top
"R47","2k2","R_0603_1608Metric",196.535000,-108.250000,0.000000,top
"R48","2k2","R_0603_1608Metric",193.075000,-99.486600,0.000000,top
"R49","2k2","R_0603_1608Metric",190.775000,-108.250000,0.000000,top
"R50","2k2","R_0603_1608Metric",187.275000,-99.486600,0.000000,top
"R51","2k2","R_0603_1608Metric",184.975000,-108.250000,0.000000,top
"R52","2k2","R_0603_1608Metric",181.475000,-99.486600,0.000000,top
"R53","2k2","R_0603_1608Metric",179.175000,-108.250000,0.000000,top
"R54","2k2","R_0603_1608Metric",175.725000,-99.486600,0.000000,top
"R55","2k2","R_0603_1608Metric",173.385000,-108.250000,0.000000,top
"R56","2k2","R_0603_1608Metric",169.925000,-99.486600,0.000000,top
"R57","2k2","R_0603_1608Metric",167.589340,-108.250000,0.000000,top
"RSH1","10R","R_0603_1608Metric",181.600000,-48.662500,180.000000,top
"U1","TLV9001IDCKR","SOT-353_SC-70-5",183.350000,-46.162500,-90.000000,top
"U2","INA226AIDGSR","TSSOP-10_3x3mm_P0.5mm",182.850000,-52.912500,90.000000,top
"U3","DRV8837CDSGR","DSG8_P9X1P6_TEX",153.624999,-96.324999,0.000000,top
"U4","DRV8837CDSGR","DSG8_P9X1P6_TEX",153.624999,-103.763986,0.000000,top
"U5","MCP23017-E/SO","SOIC-28W_7.5x17.9mm_P1.27mm",180.700000,-70.300000,-90.000000,top
"U6","ADG734BRUZ","RU_20_ADI",207.250000,-88.500000,90.000000,top
"U7","ADG734BRUZ","RU_20_ADI",207.250000,-75.500000,90.000000,top
"U8","ADG734BRUZ","RU_20_ADI",207.250001,-62.956948,90.000000,top
"U9","ADG734BRUZ","RU_20_ADI",207.274998,-49.819400,90.000000,top
"U10","DRV8837CDSGR","DSG8_P9X1P6_TEX",153.624999,-111.824999,0.000000,top
"U11","OPA2381AIDGKR","DGK8",214.725000,-103.825000,-90.000000,top
"U12","OPA2381AIDGKR","DGK8",208.933657,-103.825000,-90.000000,top
"U13","OPA2381AIDGKR","DGK8",203.142314,-103.825000,-90.000000,top
"U14","OPA2381AIDGKR","DGK8",197.350972,-103.825000,-90.000000,top
"U15","OPA2381AIDGKR","DGK8",191.559629,-103.825000,-90.000000,top
"U16","OPA2381AIDGKR","DGK8",185.768287,-103.825000,-90.000000,top
"U17","OPA2381AIDGKR","DGK8",179.976944,-103.825000,-90.000000,top
"U18","OPA2381AIDGKR","DGK8",174.185602,-103.825000,-90.000000,top
"U19","OPA2381AIDGKR","DGK8",168.394259,-103.825000,-90.000000,top
